wilaya_code,wilaya_name,commune_name,commune_name_ar
1,Adrar,Adrar,أدرار
1,Adrar,Akabli,اقبلي
1,Adrar,Aoulef,أولف
1,Adrar,Bouda,بودة
1,Adrar,Fenoughil,فنوغيل
1,Adrar,"In Zghmir","إن زغمير"
1,Adrar,"Ouled Ahmed Timmi","أولاد أحمد تيمي"
1,Adrar,Reggane,رقان
1,Adrar,Sali,سالي
1,Adrar,Sebaa,السبع
1,Adrar,Tamantit,تامنطيط
1,Adrar,Tamest,تامست
1,Adrar,Timekten,تيمقتن
1,Adrar,Tit,تيت
1,Adrar,Tsabit,تسابيت
1,Adrar,"Zaouiet Kounta","زاوية كنتة"
2,Chlef,"Abou El Hassane","أبو الحسن"
2,Chlef,"Ain Merane","عين مران"
2,Chlef,Benairia,بنايرية
2,Chlef,"Beni Bouattab","بني بوعتاب"
2,Chlef,"Beni Haoua","بني حواء"
2,Chlef,"Beni Rached","بني راشد"
2,Chlef,Boukadir,بوقادير
2,Chlef,Bouzeghaia,بوزغاية
2,Chlef,Breira,بريرة
2,Chlef,Chettia,الشطية
2,Chlef,Chlef,الشلف
2,Chlef,Dahra,الظهرة
2,Chlef,"El Hadjadj",الحجاج
2,Chlef,"El Karimia",الكريمية
2,Chlef,"El Marsa",المرسى
2,Chlef,Harchoun,حرشون
2,Chlef,Herenfa,الهرانفة
2,Chlef,"Labiod Medjadja","الأبيض مجاجة"
2,Chlef,Moussadek,مصدق
2,Chlef,"Oued Fodda","وادي الفضة"
2,Chlef,"Oued Goussine","وادي قوسين"
2,Chlef,"Oued Sly","وادي سلي"
2,Chlef,"Ouled Abbes","أولاد عباس"
2,Chlef,"Ouled Ben Abdelkader","أولاد بن عبد القادر"
2,Chlef,"Ouled Fares","أولاد فارس"
2,Chlef,"Oum Drou","أم الدروع"
2,Chlef,Sendjas,سنجاس
2,Chlef,"Sidi Abderrahmane","سيدي عبد الرحمن"
2,Chlef,"Sidi Akkacha","سيدي عكاشة"
2,Chlef,Sobha,الصبحة
2,Chlef,Tadjena,تاجنة
2,Chlef,Talassa,تلعصة
2,Chlef,Taougrit,تاوقريت
2,Chlef,Tenes,تنس
2,Chlef,Zeboudja,الزبوجة
3,Laghouat,Aflou,أفلو
3,Laghouat,"Ain Madhi","عين ماضي"
3,Laghouat,"Ain Sidi Ali","عين سيدي علي"
3,Laghouat,"Benacer Benchohra","بن ناصر بن شهرة"
3,Laghouat,Brida,بريدة
3,Laghouat,"El Assafia",العسافية
3,Laghouat,"El Beidha",البيضاء
3,Laghouat,"El Ghicha",الغيشة
3,Laghouat,"El Haouaita",الحويطة
3,Laghouat,"Gueltat Sidi Saad","قلتة سيدي سعد"
3,Laghouat,"Hadj Mechri","الحاج مشري"
3,Laghouat,"Hassi Delaa","حاسي الدلاعة"
3,Laghouat,"Hassi R'Mel","حاسي الرمل"
3,Laghouat,Kheneg,الخنق
